Unnamed: 0,molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
5347,CHEMBL1641996,55600.0,nM,N#Cc1cnc(Nc2cccc(Br)c2)c2cc(NC(=O)c3ccco3)ccc12,4.254925208417943,432.022187756,5,2,5.457880000000002,True
2985,CHEMBL424375,300.0,nM,COc1cccc(-c2cn(-c3ccc(CNCCO)cc3)c3ncnc(N)c23)c1,6.522878745280337,389.1851749760001,7,3,2.7602,True
2828,CHEMBL3088220,210.0,nM,Cc1ncc([N+](=O)[O-])n1C/C(=N/NC(=O)c1ccc(O)cc1)c1ccc(Br)cc1,6.6777807052660805,457.038566092,7,2,3.402120000000002,True
3898,CHEMBL75880,1485.2,nM,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,5.828215059445879,277.27695012,1,1,5.295400000000005,True
2896,CHEMBL79060,250.0,nM,Cc1cc2cc(Nc3ccnc4cc(-c5ccc(CNCCN6CCNCC6)cc5)sc34)ccc2[nH]1,6.6020599913279625,496.2409160240001,6,4,5.491420000000004,True
3660,CHEMBL438805,950.0,nM,CCCc1c(C(=O)OCC)cn2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c12,6.022276394711152,454.211724072,8,1,5.000100000000004,True
418,CHEMBL3814445,2.25,nM,Fc1ccc(Nc2ncnc3ccc(NC(=S)NCCN4CCOCC4)cc23)cc1Cl,8.647817481888637,460.124836224,6,3,3.784500000000002,True
3467,CHEMBL3740907,720.0,nM,C/C(=N\Nc1ncc(Cl)c(Nc2cccc(NC(=O)/C=C/CN(C)C)c2)n1)c1ccc(F)cc1F,6.142667503568731,499.169892508,7,3,5.044200000000003,True
2152,CHEMBL210659,67.0,nM,O=NN(CCCl)C(=O)Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,7.173925197299173,404.055529048,6,2,4.780900000000003,True
5224,CHEMBL279481,29000.0,nM,O=C1NC(=O)c2c1c1c3cccc(O)c3[nH]c1c1[nH]c3c(O)cccc3c21,4.537602002101044,357.074955832,4,5,3.2504,True
840,CHEMBL3950630,6.7,nM,Cc1cc(C)nc(NS(=O)(=O)c2ccc(Nc3nncc4ccccc34)cc2)n1,8.173925197299173,406.121194816,7,2,3.5810400000000016,True
3184,CHEMBL279459,450.0,nM,COc1cc2c(Nc3c(F)cc(Br)cc3F)ncnc2cc1OCC1CCNCC1,6.346787486224656,478.0815944520001,6,2,4.801100000000004,True
346,CHEMBL2048903,1.9,nM,OCCn1ccc2ncnc(Nc3ccc(Oc4cccc5[nH]ncc45)c(Cl)c3)c21,8.721246399047171,420.11015146400007,7,3,4.489200000000003,True
5447,CHEMBL1242033,100000.0,nM,CC(C)n1nc(-c2ccc3nccc(NC(=O)OC(C)(C)C)c3c2)c2c(N)ncnc21,4.0,419.2069730400001,8,2,4.551600000000002,True
715,CHEMBL3758802,5.0,nM,C#Cc1cccc(Nc2ncnc3sc(-c4ccc(CO)cc4OC)cc23)c1,8.301029995663981,387.104147784,6,2,4.584100000000003,True
4886,CHEMBL454002,10000.0,nM,N#CC(C#N)=C(C#N)c1cc(O)cc(O)c1,5.0,211.0381764,5,2,1.4221399999999995,True
3729,CHEMBL3671546,1020.0,nM,C=C(C)C(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCNC(C)=O,5.991399828238082,501.0811798520001,6,3,4.304500000000003,True
402,CHEMBL214798,2.0,nM,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1OC1CCN(C)CC1,8.698970004336019,416.141531844,6,1,4.647500000000004,True
2398,CHEMBL2070198,98.0,nM,Brc1cccc(Nc2ncnc3ccc(NCc4ccc5c(c4)OCCCO5)cc23)c1,7.008773924307505,476.084788012,6,2,5.909300000000003,True
3966,CHEMBL4289274,1700.0,nM,COc1cc(-c2nc3sc(-c4ccc(Cl)cc4)cn3n2)cc(OC)c1OC,5.769551078621726,401.060090052,7,0,4.804000000000004,True
1201,CHEMBL571040,13.0,nM,C=CC(=O)N1CCC[C@H]1C(=O)Nc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OCCOC,7.886056647693163,513.1579101799999,7,2,4.306600000000002,True
2566,CHEMBL249509,126.9,nM,C#Cc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,6.896538377905295,297.046903188,3,1,4.1472000000000016,True
2893,CHEMBL1242285,249.0,nM,CC(C)n1nc(-c2cc(O)cc(Br)c2)c2c(N)ncnc21,6.603800652904264,347.0381721680001,6,2,3.1245000000000003,True
627,CHEMBL4067871,4.2,nM,OC[C@H](Nc1cnc(-c2cc(Cl)ccc2O)c(-c2ccc3cnccc3c2)c1)c1ccccc1,8.3767507096021,467.140054624,5,3,6.468300000000006,True
3568,CHEMBL2385974,850.0,nM,CCOc1cc([N+](=O)[O-])c(C(=O)Nc2ccc(OCc3ccccn3)c(Cl)c2)cc1NC(=O)/C=C/CN(C)C,6.070581074285707,553.1728112960001,8,2,4.929500000000004,True
4275,CHEMBL4084214,3400.0,nM,CCC(=O)N1CCC[C@@H](n2nc(-c3cccc(F)c3)c3c(N)ncnc32)C1,5.468521082957745,368.1760875120001,6,1,2.7881,True
3258,CHEMBL332096,508.0,nM,Nc1ccc2ncnc(NCc3ccccc3)c2c1,6.29413628771608,250.121846448,4,2,2.8241000000000014,True
649,CHEMBL3818289,4.54,nM,O=C1N[C@H](C(=O)Nc2cc3c(Nc4ccc(F)c(Cl)c4)ncnc3cc2OCCCN2CCOCC2)CO1,8.342944147142896,544.1637238320001,9,3,3.313900000000001,True
45,CHEMBL128468,0.28,nM,O=C(O)CCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,9.55284196865778,401.048736852,6,3,3.8076000000000016,True
4409,CHEMBL1242757,4600.0,nM,CC(C)n1nc(-c2cccc3[nH]ccc23)c2c(N)ncnc21,5.337242168318426,292.143644512,5,2,3.1377000000000006,True
5510,CHEMBL3734988,261000.0,nM,C[C@@H](O)c1nc2cnc(Nc3ccnc(N4CC[C@H](O)[C@H](F)C4)n3)cc2n1[C@H](C)C(F)(F)F,3.583359492661719,469.184935856,9,3,3.050600000000001,True
2874,CHEMBL1242376,236.0,nM,Nc1ncnc2c1c(-c1ccc(Br)c(O)c1)nn2C1CCCC1,6.627087997029893,373.053822232,6,2,3.6587000000000014,True
2583,CHEMBL3612590,130.0,nM,CCOC(=O)CCCn1c(=O)oc2cc3ncnc(Nc4ccc5[nH]ncc5c4)c3cc21,6.886056647693163,432.1546031200001,9,2,3.500900000000001,True
1056,CHEMBL382823,10.0,nM,COCCN(Cc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OC)[C@@H](C)C(N)=O,8.0,461.16299556000007,7,2,3.4967000000000006,True
4071,CHEMBL3133901,2200.0,nM,C=CC(=O)Nc1ccc2ncnc(Nc3c(F)cccc3Br)c2c1,5.657577319177793,386.0178513240001,4,2,4.3995000000000015,True
3099,CHEMBL574059,380.0,nM,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccc(F)cc3)nc21,6.42021640338319,414.0450446160001,5,1,5.185000000000002,True
2267,CHEMBL500115,81.0,nM,CS(=O)(=O)O[C@H]1CN[C@H](C#Cc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)C1,7.091514981121351,572.075503084,9,2,4.864600000000004,True
626,CHEMBL4227210,4.2,nM,C=CC(=O)Nc1cc(Nc2ncc3ncn(-c4ccc(C(C)C)cc4)c3n2)c(OC)cc1N(C)CCN(C)C,8.3767507096021,528.296122392,9,2,4.813400000000003,True
1537,CHEMBL4284413,24.0,nM,O=C(Nc1nccs1)C(c1ccccc1)N1Cc2ccccc2C1=O,7.619788758288394,349.08849772,4,1,3.478900000000002,True
398,CHEMBL3806248,2.0,nM,CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2c2c1OCCO2,8.698970004336019,375.07859724,6,1,4.3358000000000025,True
5490,CHEMBL6976,160000.0,nM,COc1cc2c(cc1OC)Nc1ncn(C)c(=O)c1C2,3.795880017344075,273.11134134,6,1,1.4452999999999996,True
2804,CHEMBL26641,200.0,nM,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCC1CCNCC1,6.698970004336019,474.1066663280001,6,2,5.052100000000005,True
940,CHEMBL257430,8.0,nM,Clc1cc(Nc2ncnc3[nH]nc(OCCN4CCNCC4)c23)ccc1OCc1ccccn1,8.096910013008056,480.17889972000006,9,3,3.0079,True
2087,CHEMBL4065300,60.1,nM,Fc1cc(F)cc(NC(=S)Nc2ccc3ncnc(Nc4cccc(Cl)c4)c3c2)c1,7.221125527997261,441.062650568,4,3,6.113900000000002,True
3783,CHEMBL209818,1139.0,nM,Cc1cccc(Nc2ncnc3ccc(N(C)C(=O)N(CCCl)N=O)cc23)c1,5.943476275920899,398.125801528,6,1,4.460220000000003,True
461,CHEMBL2437460,2.86,nM,C=CC(=O)Nc1cccc(-n2c(=O)cnc3cnc(Nc4ccc(N5CCOCC5)cc4)nc32)c1,8.543633966870956,469.18623759600007,9,2,2.8804000000000007,True
1387,CHEMBL4208811,19.0,nM,C=CC(=O)N[C@H]1CCN(c2nc(Nc3ccc(N4CCN(C)CC4)cc3)c3ncn(C(C)C)c3n2)C1,7.721246399047171,489.2964567400001,9,2,2.783500000000001,True
896,CHEMBL597551,7.1,nM,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCC(=O)NO,8.148741651280925,406.084410892,7,3,3.448800000000001,True
429,CHEMBL3622675,2.4,nM,C#Cc1cccc(Nc2ncnc3cc(OCC)c(NC(=O)/C=C/CN(C)C4CC4)cc23)c1,8.619788758288394,441.216475104,6,2,4.342300000000003,True
4062,CHEMBL3233794,2159.0,nM,O=C(/C=C/CN1CC2(CCOCC2)C1)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2s1,5.665747357665769,487.124501876,7,2,4.834500000000003,True
2601,CHEMBL3934539,136.0,nM,CCC(=O)Nc1cc2c(NCc3ccccc3)ncnc2cc1OC,6.866461091629782,336.15862588,5,2,3.599000000000003,True
3365,CHEMBL3905284,601.0,nM,COc1cccc(/C=N/Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c1,6.221125527997261,459.113188244,8,2,4.510300000000003,True
3839,CHEMBL1095154,1300.0,nM,Cl.NCCc1cn(Cc2ccc(-c3ccccc3)cc2)c2ccc(OCCc3ccc(O)cc3)cc12,5.886056647693163,498.207405912,4,2,6.606700000000006,True
1840,CHEMBL391181,40.0,nM,COc1cn2ncnc(Nc3ccc4c(cnn4Cc4cccc(F)c4)c3)c2c1CN1CCC(N)CC1,7.397940008672037,500.244835768,9,2,3.941700000000002,True
4605,CHEMBL3608432,6138.0,nM,C=CC(=O)N[C@@H]1CN(c2nc(Nc3cn(C)nc3C)c3ncn(C(C)C)c3n2)C[C@H]1F,5.211973115904196,427.224434672,9,2,2.0216199999999995,True
3779,CHEMBL2047026,1120.0,nM,C#Cc1cccc(NC(=O)c2cc(NC(=O)CCCCCC(=O)NO)c(OC)cc2O)c1,5.950781977329818,439.17433552,6,5,3.0288000000000013,True
2419,CHEMBL80302,100.0,nM,Cc1cc2cc(Nc3ncnc4cc(-c5ccccc5)sc34)ccc2[nH]1,7.0,356.109567512,4,2,5.891620000000002,True
5422,CHEMBL120719,96000.0,nM,COc1cc(C=C(C#N)C#N)cc(CSCC(=O)O)c1O,4.017728766960432,304.051777864,6,2,2.14916,True
1322,CHEMBL4098587,17.0,nM,CC(C)(C)OC(=O)NCC(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,7.769551078621726,445.131695432,6,3,4.629100000000003,True
4368,CHEMBL589809,4150.0,nM,O=C(Nc1ccccc1)N(Cc1ccc(F)cc1)Cc1cc(Cl)cc(Cl)c1O,5.381951903287908,418.065111364,2,2,6.072400000000004,True
3846,CHEMBL111365,1300.0,nM,COc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cn1,5.886056647693163,427.0602800800001,7,1,4.449500000000002,True
1094,CHEMBL4250273,10.1,nM,COc1ccc(N(c2ncnc3occ(C)c23)C(C)C)cc1,7.995678626217357,297.147726848,5,0,4.086320000000003,True
3427,CHEMBL2325090,680.0,nM,Clc1ccc(C2=NN(c3ccccc3)C(c3cccc4ccccc34)C2)cc1,6.167491087293763,382.123676288,2,0,6.848900000000005,True
5387,CHEMBL2064379,75000.0,nM,Cc1cc(C)cc(Nc2ncnc3cc4oc(=O)n(CCCN5CCOCC5)c4cc23)c1,4.1249387366083,433.211389724,8,1,3.620440000000002,True
2426,CHEMBL3924787,100.0,nM,C[C@@H](Nc1ncnc2ccc(OCCCCCC(=O)NO)cc12)c1ccccc1,7.0,394.200490692,6,3,4.247500000000003,True
4086,CHEMBL2325102,2230.0,nM,NC(=S)N1N=C(c2ccccc2)CC1c1cccc2ccccc12,5.651695136951839,331.114318544,2,1,4.234500000000002,True
3123,CHEMBL397122,400.0,nM,C[C@@H](c1cccc(F)c1)n1ncc2cc(Nc3ncnn4ccc(COC[C@@H]5CNCCO5)c34)ccc21,6.3979400086720375,501.228851356,9,2,4.076000000000001,True
5348,CHEMBL584,55629.0,nM,Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,4.25469874696885,567.31307792,6,4,4.747620000000004,True
92,CHEMBL3355875,0.47,nM,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCCn1ccnc1[N+](=O)[O-],9.327902142064282,486.12185902,9,1,5.138400000000003,True
4330,CHEMBL1241483,3860.0,nM,COc1cc(-c2nn(C(C)C)c3ncnc(N)c23)ccc1F,5.413412695328245,301.133888352,6,1,2.8041,True
5087,CHEMBL2424676,19000.0,nM,C=CC(=O)Nc1cc(Nc2nccc(-c3cnn4ccccc34)n2)c(OC)cc1N1CCN(C)CC1,4.721246399047171,484.233522136,9,2,3.4198000000000013,True
930,CHEMBL461967,8.0,nM,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1CNC(=O)[C@H]1CCCCN1C,8.096910013008056,457.16808094,6,2,4.275000000000003,True
1215,CHEMBL3943438,14.0,nM,COC[C@@H](Nc1ncnc2oc(-c3ccc(OC)cc3)cc12)c1ccccc1,7.853871964321762,375.158291532,6,1,4.698000000000004,True
3674,CHEMBL436137,965.0,nM,Cc1cccc(C)c1-c1cc(C)c2nc(Nc3ccc(OCCN4CCCC4)cc3)nnc2c1,6.015472686656207,453.25286061200006,6,1,5.835260000000005,True
1400,CHEMBL1645470,20.0,nM,Cc1cccc(Nc2ncnn3ccc(CN4CCC(N)CC4)c23)c1,7.698970004336019,336.206244768,6,2,2.7044200000000007,True
3909,CHEMBL2385964,1500.0,nM,Cc1ncc(C#N)c(Nc2ccc(OCc3ccccn3)c(Cl)c2)c1C#Cc1ccc(CNCCS(C)(=O)=O)o1,5.823908740944319,575.1394029920002,9,2,4.759700000000004,True
2928,CHEMBL596964,268.0,nM,COc1cc2ncnc(NCc3ccc(F)cc3)c2cc1OCCCCCCC(=O)NO,6.571865205971211,442.201633564,7,3,4.224300000000002,True
5491,CHEMBL595497,160300.0,nM,CCCC(=Cc1coc2nc(=N)[nH]c(N)c12)c1ccccc1OC,3.795066477645856,324.15862588,5,3,3.5668700000000007,True
4152,CHEMBL248045,2580.0,nM,COc1ccc2c(N[C@@H]3C[C@H]3c3ccccc3)c(C#N)cnc2c1,5.58838029403677,315.137162164,4,1,4.0830800000000025,True
4541,CHEMBL3263364,5530.0,nM,COc1ccc(C2=NN(C3=NC(=O)CS3)C(c3cccc4ccccc34)C2)cc1,5.257274868695301,401.119797848,5,0,4.628900000000003,True
598,CHEMBL3633143,4.0,nM,C=CC(=O)Nc1cccc(-n2c(=O)cc(C)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,8.397940008672037,525.2488378520001,9,2,3.717620000000003,True
2744,CHEMBL111038,190.0,nM,COc1cc2ncc(C#N)c(Nc3cccc(Br)c3)c2cc1OC,6.721246399047171,383.026938788,5,1,4.629780000000003,True
1743,CHEMBL256529,33.0,nM,CO/N=C/c1c(N)ncnc1Nc1ccc(OCc2cc(F)cc(F)c2)c(Cl)c1,7.481486060122112,419.096058872,7,2,4.293300000000003,True
4811,CHEMBL4205869,8870.0,nM,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(Cl)c(Oc2cccc([N+](=O)[O-])c2)n1,5.052076380168273,470.146930896,9,1,4.334500000000003,True
3954,CHEMBL48614,1680.0,nM,CN1CCC(c2c(O)cc(O)c3c2O/C(=C\c2ccccc2Cl)C3=O)CC1,5.774690718274137,385.1080858,5,2,4.176600000000002,True
4237,CHEMBL519147,3180.0,nM,Nc1nc(Nc2ccc(Cl)cc2)c2cc(CCc3ccccc3)[nH]c2n1,5.497572880015568,363.125073256,4,3,4.722300000000002,True
3404,CHEMBL3975588,650.0,nM,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccccc3OC)ncc2Cl)c1,6.187086643357144,396.098918084,6,2,4.799000000000002,True
282,CHEMBL2138625,1.4,nM,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1C#CC(C)(C)N1CCN(C)CC1,8.853871964321762,506.19971541600006,6,2,4.667900000000004,True
4371,CHEMBL195218,4200.0,nM,CONC(=O)c1cc(Nc2ncnn3cc(NC(=O)OCCCS(C)(=O)=O)c(C(C)C)c23)c(F)cc1F,5.376750709602099,540.160259992,10,3,3.148900000000002,True
5083,CHEMBL2316156,18600.0,nM,COc1ccc(/C=C2\CCC/C(=C\c3cc(OC)cc(OC)c3)C2=O)cc1,4.730487055782084,364.167459248,4,0,4.932400000000005,True
4426,CHEMBL2424801,4700.0,nM,O=C(/C=C/c1cccnc1)Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,5.327902142064282,401.104337812,5,2,5.073700000000002,True
2722,CHEMBL572030,180.0,nM,C=COC(=O)N(CCN(C)C)/N=N/c1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,6.7447274948966935,439.152350624,8,1,5.1692000000000045,True
751,CHEMBL3699584,5.5,nM,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(N4CCN(C(=O)CO)CC4)cc3OC)ncc2C(F)(F)F)c1,8.259637310505756,571.2154870359999,9,4,3.7566000000000015,True
4245,CHEMBL3740131,3220.0,nM,CCOC(=O)c1nn(-c2ccccc2)cc1C(=O)c1c(C)[nH]c(-c2ccccc2)c1-c1ccccc1,5.492144128304169,475.1895916600001,5,1,6.250520000000005,True
1670,CHEMBL4280993,29.9,nM,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(C)cc1N(C)CCN(C)C,7.52432881167557,495.2746586760001,7,2,4.964720000000004,True
19,CHEMBL193160,0.12,nM,O=C(CCl)Nc1ccc2ncnc(Nc3cccc(I)c3)c2c1,9.920818753952377,437.974436684,4,2,4.155300000000002,True
4396,CHEMBL115519,4400.0,nM,COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2nc3cc(Cl)ccc3s2)c1O,5.356547323513812,431.016510988,7,2,4.348480000000002,True
4993,CHEMBL472942,13570.0,nM,COc1cc2nccc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CCOCC1,4.867420152340263,470.152096528,6,2,4.606400000000003,True
3318,CHEMBL2064389,570.0,nM,O=c1oc2cc3ncnc(Nc4ccc(F)c(F)c4)c3cc2n1CCCN1CCOCC1,6.2441251443275085,441.161245972,8,1,3.2818000000000014,True
1837,CHEMBL93461,40.0,nM,CC(=O)Nc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,7.397940008672037,356.0272731360001,4,2,4.094300000000002,True
5533,CHEMBL76082,560000.0,nM,N#CC(C#N)=Cc1cc2c(cc1[N+](=O)[O-])OCO2,3.2518119729938,243.02800564,6,0,1.7540600000000002,True
3358,CHEMBL3353404,600.0,nM,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,6.221848749616356,520.210199848,9,2,4.319200000000003,True
3664,CHEMBL1242024,954.0,nM,Cc1cc(O)ccc1-c1nn(C(C)C)c2ncnc(N)c12,6.020451625295905,283.143310164,6,2,2.67042,True
1028,CHEMBL3814182,9.05,nM,S=C(NCCN1CCOCC1)Nc1ccc2ncnc(Nc3ccc(Cl)c(Cl)c3)c2c1,8.043351420794796,476.095285684,6,3,4.298800000000003,True
3414,CHEMBL251315,662.0,nM,CCOc1cc2ncnc(C#C[C@](C)(Cc3ccccc3)N3CCC(C(=O)O)CC3)c2cc1OCC,6.1791420105603,487.24710653599993,6,1,4.576700000000003,True
3432,CHEMBL1221700,689.0,nM,C=CC(=O)Nc1ccc2ncnc(Nc3ccc(C(C)(C)C)cc3)c2c1,6.161780778092375,346.179361324,4,2,4.795400000000003,True
2652,CHEMBL190567,150.0,nM,COCC(=O)Nc1ccc2ncnc(Nc3cccc(I)c3)c2c1,6.823908740944319,434.02397372,5,2,3.5629000000000017,True
4335,CHEMBL541307,3900.0,nM,CN(C)CC(CNNC(N)=O)C(=O)c1ccc(OCc2ccccc2)cc1.Cl,5.4089353929735005,406.177168404,5,3,2.220800000000002,True
354,CHEMBL31622,2.0,nM,C=CC(=O)Nc1cc2c(Nc3cccc(C)c3)ncnc2cc1OCCCN1CCN(C)CC1,8.698970004336019,460.258674264,7,2,3.8226200000000015,True
5564,CHEMBL261238,5000000.0,nM,CN(c1cccnc1)c1cc2c(Nc3ccc(F)c(Cl)c3)c(C#N)cnc2cn1,2.3010299956639813,404.095250348,6,1,5.200480000000003,True
3107,CHEMBL3805280,387.8,nM,COCCOc1cc2ncnc(Nc3ccc(F)c(C#N)c3)c2c2c1OCCO2,6.411392195257314,396.123383244,8,1,3.180580000000001,True
2163,CHEMBL76432,68.0,nM,c1ccc(-c2cc3ncnc(Nc4ccc5[nH]ccc5c4)c3s2)cc1,7.167491087293763,342.093917448,4,2,5.583200000000002,True
3411,CHEMBL2325087,660.0,nM,NC(=S)N1N=C(c2ccc(Cl)c(Cl)c2)CC1c1ccc2ccccc2c1,6.180456064458131,399.03637384,2,1,5.541300000000003,True
3738,CHEMBL3233771,1040.0,nM,COCCNC/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2s1,5.982966660701219,435.093201748,7,3,3.9581000000000017,True
4732,CHEMBL462338,7700.0,nM,COc1nc(Nc2ccc(-c3nc4ccccc4s3)cc2)c2cc[nH]c2n1,5.113509274827518,373.0997311,6,2,4.986800000000002,True
4872,CHEMBL1172957,10000.0,nM,NS(=O)(=O)c1ccc(Nc2nc(N3CCOCC3)nc3[nH]cnc23)cc1,5.0,375.1113584040001,8,3,0.5805000000000002,True
2471,CHEMBL318736,105.0,nM,CCCCOc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCCCC,6.978810700930062,443.12083917199993,5,1,6.493700000000005,True
1625,CHEMBL4070640,27.4,nM,CCC(=O)N1CC[C@H](N2C(=O)N(c3ccccc3OC)Cc3cnc(Nc4ccc(N5CCN(C)CC5)c(C)c4)nc32)C1,7.562249437179612,584.3223371400001,8,1,4.246520000000004,True
1864,CHEMBL68920,41.0,nM,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,7.387216143280264,383.09491600000007,4,3,4.450340000000002,True
2703,CHEMBL7819,170.0,nM,COc1cc(O)c2c(=O)c(-c3cccc(Cl)c3)cn(C)c2c1,6.769551078621726,315.066220988,4,1,3.573100000000002,True
1067,CHEMBL135902,10.0,nM,COc1cc2ncnc(Sc3cccc(Cl)c3)c2cc1OC,8.0,332.038626336,5,0,4.451600000000003,True
2960,CHEMBL3676377,286.0,nM,C=CC(=O)Nc1cc2c(Nc3ccc(Br)c(Cl)c3F)ncnc2cc1OC[C@@H](C)NC(=O)CN(C)C,6.543633966870956,578.08440666,7,3,4.498000000000004,True
2533,CHEMBL196925,120.0,nM,CCOC(=O)c1cn2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c2c1CC,6.920818753952375,440.196074008,8,1,4.610000000000004,True
